symbol,exchange,currency,example_local_symbol,example_conid,description
10Y,CBOT,USD,10YF6,835061422,10 YEAR MICRO TREASURY YIELD
1OZ,COMEX,USD,1OZM6,753716602,1 OUNCE GOLD FUTURES
20U,CBOT,USD,20UG6,828648551,30 YEAR UMBS 2.0% COUPON
25U,CBOT,USD,25UG6,828648552,30 YEAR UMBS 2.5% COUPON
2YY,CBOT,USD,2YYF6,835061424,2 YEAR MICRO TREASURY YIELD
30U,CBOT,USD,30UG6,828648557,30 YEAR UMBS 3.0% COUPON
30Y,CBOT,USD,30YF6,835061429,30 YEAR MICRO TREASURY YIELD
35U,CBOT,USD,35UG6,828648563,30 YEAR UMBS 3.5% COUPON
40U,CBOT,USD,40UG6,828648566,30 YEAR UMBS 4% COUPON
45U,CBOT,USD,45UG6,828648569,30 YEAR UMBS 4.5% COUPON
50U,CBOT,USD,50UG6,828648572,30 YEAR UMBS 5.0% COUPON
55U,CBOT,USD,55UG6,828648579,30 YEAR UMBS 5.5% COUPON
5YY,CBOT,USD,5YYF6,835061434,5 YEAR MICRO TREASURY YIELD
60U,CBOT,USD,60UG6,828648582,30 YEAR UMBS 6.0% COUPON
65U,CBOT,USD,65UG6,828648585,30 YEAR UMBS 6.5% COUPON
6M,CME,USD,6MH6,723663405,MEXICAN PESO
AC,NYBOT,USD,ACU8,810827925,"COFFEE ""C"" METRIC"
ACDX,CME,CAD,ACDH6,728775934,AUSTRALIAN DOLLAR
ACDX,NYBOT,CAD,ASZ6,839021588,AUSTRALIAN DOLLAR
AFR,IPE,USD,AFRZ6,399215293,ICE RICHARDS BAY COAL
AIGCI,CBOT,USD,AWZ6,742453685,BLOOMBERG COMMODITY INDEX
AJY,CME,JPY,AJYH6,728775936,AUSTRALIAN DOLLAR
AJY,NYBOT,JPY,YAZ6,839021613,AUSTRALIAN DOLLAR
ALI,COMEX,USD,ALIF6,468091327,ALUMINUM INDEX
ANE,CME,NZD,ANEH6,728775941,AUSTRALIAN DOLLAR
ANE,NYBOT,NZD,ARZ6,839021585,AUSTRALIAN DOLLAR
ATW,IPE,USD,ATWZ6,399215246,ICE ROTTERDAM COAL
AUD,CME,USD,6AH6,476639209,AUSTRALIAN DOLLAR
AUD,ICEUS,USD,KAUZ6,839021535,AUSTRALIAN DOLLAR
AYV,NYMEX,USD,AYVH6,457291523,MARS (ARGUS) VS. WTI TRADE MONTH FUTURES
BB,NYMEX,USD,BBH6,339823479,NYMEX BRENT FINANCIAL FUTURES INDEX
BFF,CME,USD,BFFF616,842590392,CME CF BITCOIN REFERENCE RATE NEW YORK  - BFF FUTURES
BOS,CME,USD,BOSG6,404872133,BOSTON HOUSING INDEX
BQX,CME,USD,BIOH6,750150163,CME E-MINI NASDAQ BIOTECHNOLOGY
BRE,CME,USD,6LG6,468552664,BRAZILIAN REAL
BRR,CME,USD,BTCH6,732156836,CME CF BITCOIN REFERENCE RATE
BTCEURRR,CME,EUR,BTEH6,732156843,CME CF BITCOIN-EURO REFERENCE RATE
BZ,NYMEX,USD,BZH6,304037381,BRENT CRUDE OIL - LAST DAY
CAD,CME,USD,6CH6,476871173,CANADIAN DOLLAR
CB,CME,USD,CBF6,681156875,CME CASH-SETTLED BUTTER FUTURES
CC,NYBOT,USD,CCH6,694583775,COCOA NYBOT
CHF,CME,USD,6SH6,476639238,SWISS FRANC
CHI,CME,USD,CHIG6,404872128,CHICAGO HOUSING INDEX
CJY,CME,JPY,CJYH6,728775946,CANADIAN DOLLAR
CJY,NYBOT,JPY,HYZ6,839021607,CANADIAN DOLLAR
CL,NYMEX,USD,CLM6,296574762,LIGHT SWEET CRUDE OIL
CLP,CME,USD,CHPH6,687497185,CHILEAN PESO
CNH,CME,CNH,CNHH6,613363719,UNITED STATES DOLLAR
COIL,IPE,USD,COILH6,340216264,ICE BRENT CRUDE
CSC,CME,USD,CSCF6,681156878,CHEESE
CT,NYBOT,USD,CTH6,624024282,COTTON NO. 2
CUS,CME,USD,CUSG6,456802726,HOUSING INDEX COMPOSITE
CZK,CME,USD,CZKH6,728775951,CZECH KORUNA
D0,CME,GBP,D0F6,612753767,LONDON HEATING DEGREE DAY INDEX
D2,CME,EUR,D2X7,795700159,AMSTERDAM SCHIPHOL HEATING DEGREE DAY INDEX
DA,CME,USD,DCF6,681156880,MILK CLASS III INDEX
DEN,CME,USD,DENG6,404872120,DENVER HOUSING INDEX
DHB,CBOT,USD,DHBH6,792234620,BLOOMBERG U.S. CORPORATE INVESTMENT GRADE DURATION HEDGED
DHY,CBOT,USD,DHYH6,836148129,BLOOMBERG HIGH YIELD DURATION-HEDGED CREDIT INDEX
DJUSRE,CBOT,USD,RXH6,770561160,DOW JONES US REAL ESTATE INDEX
DX,NYBOT,USD,DXH6,769319850,NYBOT US DOLLAR FX
DY,CME,USD,DYF6,681156885,CME DRY WHEY INDEX
E7,CME,USD,E7H6,814035858,EUROPEAN MONETARY UNION EURO
EAD,CME,AUD,EADH6,728775956,EUROPEAN MONETARY UNION EURO
EAD,ICEUS,AUD,KRAZ6,839021559,EUROPEAN MONETARY UNION EURO
EBMEUR,CME,EUR,EBMH6,744399503,MICRO BITCOIN EURO
ECD,CME,CAD,ECDH6,728775963,EUROPEAN MONETARY UNION EURO
ECD,ICEUS,CAD,KEPZ6,839021545,EUROPEAN MONETARY UNION EURO
ECK,CME,EUR,ECKH6,728775966,CZECH KORUNA
EEM,CME,EUR,EEMH6,744399422,MICRO ETHER EURO
EHF,CME,EUR,EHFH6,728775970,HUNGARIAN FORINT
EJ,ICEUS,JPY,KEJH6,769319794,NYBOT EURO IN JAPANESE YEN
EMD,CME,USD,EMDH6,750150166,E-MINI S&P MIDCAP 400 FUTURES
ENK,CME,NOK,ENKH6,728775975,EUROPEAN MONETARY UNION EURO
ENK,ICEUS,NOK,KOLZ6,839021554,EUROPEAN MONETARY UNION EURO
ENZ,CME,NZD,ENZH6,728775976,EUROPEAN MONETARY UNION EURO
EO,ICEUS,USD,KEOH6,769319799,EUROPEAN MONETARY UNION EURO
EPZ,CME,EUR,EPZH6,728775981,POLISH ZLOTY
ES,CME,USD,ESZ6,515416632,E-MINI S&P 500
ESK,CME,SEK,ESKH6,728775987,EUROPEAN MONETARY UNION EURO
ESK,ICEUS,SEK,KRKZ6,839021560,EUROPEAN MONETARY UNION EURO
ESTR,CME,EUR,ESRH6,659536714,EURO SHORT-TERM RATE
ETHEURRR,CME,EUR,ETEH6,744399457,CME CF ETHER-EURO REFERENCE RATE
ETHUSDRR,CME,USD,ETHH6,732156858,CME CF ETHER-DOLLAR REFERENCE RATE
EUR,CME,USD,6EH6,476639223,EUROPEAN MONETARY UNION EURO
EURCZK,NYBOT,CZK,EZH6,769319855,EUROPEAN MONETARY UNION EURO
EURHUF,NYBOT,HUF,HRH6,769319857,EUROPEAN MONETARY UNION EURO
GB,ICEUS,GBP,KGBH6,769319805,EUROPEAN MONETARY UNION EURO
GBP,CME,USD,6BH6,476639212,BRITISH POUND
GBP,ICEUS,JPY,SYU6,814625521,BRITISH POUND
GC,COMEX,USD,GCM6,430360630,GOLD
GDK,CME,USD,GDKF6,681156890,CLASS IV MILK - 200K LBS
GF,CME,USD,GFF6,758419013,FEEDER CATTLE
GOIL,IPE,USD,GOILF6,395617117,ICE GASOIL
GSCI,CME,USD,GDF6,822742851,S&P-GSCI INDEX
H4,CME,USD,H4F6,611709858,NEW YORK HEATING DAY DEGREE INDEX
HE,CME,USD,HEG6,722503380,LEAN HOGS
HG,COMEX,USD,HGH6,462941465,COPPER INDEX
HH,NYMEX,USD,HHF7,300356986,NATURAL GAS LAST DAY FINANCIAL FUTURES INDEX
HHW,NYMEX,USD,HHWF616,803599957,HENRY HUB NATURAL GAS (WEEKLY FUTURES)
HO,NYMEX,USD,HOZ6,600696468,HEATING OIL
HOIL,IPE,USD,HOILM6,602388940,ICE HEATING OIL
HP,NYMEX,USD,HPM6,457107650,NATURAL GAS PENULTIMATE FINANCIAL FUTURES INDEX
HRC,COMEX,USD,HRCZ6,605226906,HOT-ROLLED COIL STEEL INDEX
HUF,CME,USD,HUFH6,728775990,HUNGARIAN FORINT
HYB,CBOT,USD,HYBH6,792234627,BLOOMBERG U.S. CORPORATE HIGH YIELD VERY LIQUID
IBAA,CME,USD,IBVG6,792996532,BOVESPA INDEX - USD
IBXXIBHY,CFE,USD,IBHYH6,789049197,IBOXX ISHARES $ HIGH YIELD CORPORATE BOND INDEX TR
IBXXIBIG,CFE,USD,IBIGH6,789049203,IBOXX ISHARES $ INVESTMENT GRADE CORPORATE BOND INDEX TR
IEMD,CFE,USD,IEMDH6,789049206,IBOXX $ EMERGING MARKET BOND INDEX
ILS,CME,USD,ILSH6,728775993,ISRAELI SHEKEL
IQB,CBOT,USD,IQBH6,792234630,BLOOMBERG U.S. CORPORATE INVESTMENT GRADE
IXB,CME,USD,XABH6,750150271,MATERIALS SELECT SECTOR INDEX
IXE,CME,USD,XAEH6,750150272,ENERGY SELECT SECTOR INDEX
IXI,CME,USD,XAIH6,750150282,INDUSTRIAL SELECT SECTOR INDEX
IXR,CME,USD,XAPH6,750150289,CONSUMER STAPLES SELECT SECTOR INDEX
IXU,CME,USD,XAUH6,750150299,UTILITIES SELECT SECTOR INDEX
IXV,CME,USD,XAVH6,750150302,HEALTH CARE SELECT SECTOR INDEX
IXY,CME,USD,XAYH6,750150306,CONSUMER DISCRETIONARY SELECT SECTOR INDEX
J7,CME,USD,J7H6,814035903,JAPANESE YEN
JPY,CME,USD,6JH6,476639241,JAPANESE YEN
KC,NYBOT,USD,KCH6,624024277,"COFFEE ""C"""
KE,CBOT,USD,KEK6,642254790,HARD RED WINTER WHEAT -KCBOT-
KRW,CME,USD,KRWH6,723663414,KOREAN WON
LAV,CME,USD,LAVG6,404872158,LAS VEGAS HOUSING INDEX
LAX,CME,USD,LAXG6,404872138,LOS ANGELES HOUSING INDEX
LBR,CME,USD,LBRF6,742453704,LUMBER FUTURES
LE,CME,USD,LEG6,726204007,LIVE CATTLE
LRC30APR,NYBOT,USD,30CF6,799418116,ICE U.S. CONFORMING 30-YR FIXED MORTGAGE RATE LOCK WEIGHTED APR
LRJ30APR,NYBOT,USD,30JF6,799418123,ICE U.S. JUMBO 30-YEAR FIXED MORTGAGE RATE LOCK WEIGHTED APR
LT,NYMEX,USD,LTK6,605997199,GULF COAST ULSD (PLATTS) UP-DOWN FUTURES
M1EA,NYSELIFFE,USD,MFUH6,750739764,MSCI EAFE NET TOTAL RETURN INDEX
M1EF,NYSELIFFE,USD,MMNH6,750739779,MSCI EMERGING MARKETS NET TOTAL RETURN INDEX
M1EU,NYSELIFFE,USD,EU9H6,750739754,MSCI EUROPE NTR
M1JP,NYSELIFFE,USD,JPPH6,750739759,THE MSCI JAPAN NTR
