kind,security_type,symbol,new_symbol,name,exchange,asset_record,ex_date,old_rate,new_rate,ratio,pre_close_date,pre_close,ret_1d_pct,ret_2d_pct,ret_3d_pct,ret_5d_pct,ex_ret_pct,ex_jump_matches_ratio,post_1d_pct,post_2d_pct,post_3d_pct,post_5d_pct,post_10d_pct
reverse,stock,MTNB,,"Matinas BioPharma Holdings, Inc.",AMEX,present,2024-09-03,50,1,1:50,2024-08-30,0.0933,0.0,0.0,0.0,-9.505,-14.255,True,-7.0,-9.0,-13.75,-10.0,-10.2
reverse,stock,ORKA,,"Oruka Therapeutics, Inc. Common Stock",NASDAQ,present,2024-09-03,12,1,1:12,2024-08-30,2.4,-4.0,-31.232,-38.144,-42.308,-11.458,True,9.765,-4.667,-2.0,10.118,3.804
reverse,stock,TCS,,,,missing (delisted since),2024-09-04,15,1,1:15,2024-09-03,0.8984,10.423,11.769,-7.401,-19.786,-15.257,True,-0.263,-6.392,-9.194,-10.07,24.168
reverse,stock,BIRD,,"Smartbird, Inc. Class A Common Stock",NASDAQ,present,2024-09-05,20,1,1:20,2024-09-04,0.5721,-2.522,-19.012,-20.142,-24.674,-15.312,True,10.733,8.256,13.313,35.397,32.095
reverse,stock,DPRO,,Draganfly Inc. Common Shares,NASDAQ,present,2024-09-05,25,1,1:25,2024-09-04,0.1033,2.277,-4.263,-5.92,-8.341,-10.552,True,-1.299,-12.554,-23.81,-13.853,-2.165
reverse,stock,LITB,,"LightInTheBox Holding Co., Ltd. American Depositary Shares, each representing twelve ordinary shares",NYSE,present,2024-09-05,6,1,1:6,2024-09-04,0.441,-4.13,-15.192,-32.154,-33.843,2.419,True,-2.214,-5.904,32.841,69.742,15.867
reverse,stock,TNON,,"Tenon Medical, Inc. Common Stock",NASDAQ,present,2024-09-06,8,1,1:8,2024-09-05,0.6036,37.557,25.541,23.108,18.353,-18.82,True,-18.112,-19.898,-21.939,92.602,39.541
reverse,stock,BKSY,,BlackSky Technology Inc.,NYSE,present,2024-09-09,8,1,1:8,2024-09-06,0.7765,-12.061,-30.045,-30.045,-33.632,13.49,True,1.986,-6.525,-13.759,-18.298,-23.688
reverse,etf,FAX,,"abrdn Asia-Pacific Income Fund, Inc",AMEX,present,2024-09-09,6,1,1:6,2024-09-06,2.77,-0.717,-1.071,-1.423,-1.423,1.143,True,-0.416,-0.416,-0.595,0.773,2.439
reverse,stock,PRFX,,PRF Technologies Ltd. Ordinary Shares,NASDAQ,present,2024-09-09,6,1,1:6,2024-09-06,0.2573,24.12,19.619,22.524,10.524,2.993,True,-33.333,-40.252,-47.799,-42.95,-61.006
forward,stock,TTEK,,"Tetra Tech, Inc. Common Stock",NASDAQ,present,2024-09-09,1,5,5:1,2024-09-06,225.23,-3.43,-3.467,-3.376,-4.523,1.208,True,1.777,2.413,1.031,2.215,2.632
reverse,etf,PSIL,,AdvisorShares Psychedelics ETF,ARCA,present,2024-09-10,10,1,1:10,2024-09-09,0.805,0.437,-0.813,-3.0,-9.04,-2.947,True,-0.116,0.884,1.756,2.78,2.043
reverse,stock,SIRI,,SiriusXM Holdings Inc. Common Stock,NASDAQ,present,2024-09-10,10,1,1:10,2024-09-09,2.67,-2.198,-8.247,-8.874,-18.845,2.547,True,3.397,-6.793,-10.482,-15.011,-11.98
reverse,stock,ALLR,,"Allarity Therapeutics, Inc. Common Stock",NASDAQ,present,2024-09-11,30,1,1:30,2024-09-10,0.1135,-21.071,-31.378,-31.873,-32.239,11.016,True,-23.812,-9.791,-10.584,-39.155,-39.42
reverse,stock,HYZN,,,,missing (delisted since),2024-09-11,50,1,1:50,2024-09-10,0.0541,1.501,-16.769,-15.469,-12.46,-6.839,True,-9.127,-10.714,-6.746,-0.794,-9.524
reverse,stock,WTO,,,,missing (delisted since),2024-09-11,25,1,1:25,2024-09-10,0.04,-15.966,-39.394,-38.176,-51.16,-21.19,True,-2.424,-16.254,-21.964,-35.262,-41.353
forward,stock,CTAS,,Cintas Corporation Common Stock,NASDAQ,present,2024-09-12,1,4,4:1,2024-09-11,819.83,0.418,1.878,4.851,1.87,0.518,True,0.849,-0.519,-1.092,-1.107,0.481
reverse,stock,YJ,,Yunji Inc. American Depository Shares,NASDAQ,present,2024-09-13,4,1,1:4,2024-09-12,0.48,-7.692,6.667,-3.923,-7.675,12.01,True,6.947,5.087,0.437,2.762,-2.353
reverse,stock,ISPC,,iSpecimen Inc. Common Stock,NASDAQ,present,2024-09-16,20,1,1:20,2024-09-13,0.1928,3.656,-20.363,-21.37,-23.794,15.923,True,16.331,23.49,6.04,24.385,5.145
reverse,stock,KSCP,,"Knightscope, Inc. Class A Common Stock",NASDAQ,present,2024-09-16,50,1,1:50,2024-09-13,0.201,2.603,-0.985,-13.137,-8.051,-23.582,True,-32.031,-26.953,-32.682,-32.292,-4.167
reverse,stock,ZEPP,,"Zepp Health Corporation American depositary shares, each representing sixteen Class A ordinary shares",NYSE,present,2024-09-16,4,1,1:4,2024-09-13,0.835,-0.831,-1.183,5.403,2.316,2.096,True,-2.933,-4.106,-4.399,-7.625,27.566
forward,stock,DECK,,Deckers Outdoor Corp,NYSE,present,2024-09-17,1,6,6:1,2024-09-16,937.68,0.279,2.018,3.126,4.875,-0.755,True,1.373,-1.928,-2.818,-0.451,0.335
reverse,stock,IVDA,,"Iveda Solutions, Inc. Common Stock",NASDAQ,present,2024-09-17,8,1,1:8,2024-09-16,0.2395,-7.386,-14.464,-11.263,-20.273,-9.708,True,-1.156,12.717,3.468,7.514,-7.509
reverse,stock,LKCO,,,,missing (delisted since),2024-09-17,8,1,1:8,2024-09-16,0.5766,-5.475,-0.069,6.778,2.964,-20.872,True,-27.945,-24.11,-26.849,-26.027,-33.973
reverse,stock,MULN,,,,missing (delisted since),2024-09-17,100,1,1:100,2024-09-16,0.1184,-10.439,-29.102,-32.343,-30.353,-11.74,True,-23.158,-26.411,-36.077,-51.483,-69.187
reverse,stock,PPBT,,Purple Biotech Ltd. American Depositary Shares,NASDAQ,present,2024-09-17,20,1,1:20,2024-09-16,0.401,3.618,11.389,5.526,-1.11,-8.106,True,-3.662,-5.29,-6.512,-18.589,-21.776
reverse,stock,BNZI,,,,missing (delisted since),2024-09-19,50,1,1:50,2024-09-18,0.07,-6.04,-4.11,-12.39,-14.53,-17.714,True,97.569,45.833,186.111,111.111,44.792
reverse,stock,CYBN,,,,missing (delisted since),2024-09-19,38,1,1:38,2024-09-18,0.204,2.051,2.0,2.0,-1.402,10.423,True,7.243,12.5,16.822,15.421,3.271
reverse,stock,GDHG,,Golden Heaven Group Holdings Ltd. Class A Ordinary Shares,NASDAQ,present,2024-09-19,50,1,1:50,2024-09-18,0.0834,-19.029,-20.571,-16.683,-20.571,-26.139,True,-2.273,-6.494,-5.195,-4.545,-17.857
reverse,stock,MKFG,,,,missing (delisted since),2024-09-19,10,1,1:10,2024-09-18,0.1801,-8.579,-10.974,-7.877,-8.159,14.936,True,-7.729,20.29,31.884,131.401,128.986
reverse,stock,WHLR,,"Wheeler Real Estate Investment Trust, Inc. Common Stock",NASDAQ,present,2024-09-20,3,1,1:3,2024-09-19,6.27,-6.973,-32.581,-14.694,31.723,-25.572,True,-6.0,-17.143,-31.214,-35.643,-3.071
reverse,stock,EVTL,,Vertical Aerospace Ltd.,NYSE,present,2024-09-23,10,1,1:10,2024-09-20,0.66,-8.827,-15.859,-18.063,-25.331,-12.121,True,1.724,-0.862,7.414,19.483,9.828
reverse,stock,MPLN,,,,missing (delisted since),2024-09-23,40,1,1:40,2024-09-20,0.1881,-11.399,-20.059,-27.654,-17.86,18.953,True,-17.43,-19.33,-12.067,-14.637,2.011
reverse,stock,OTRK,,,,missing (delisted since),2024-09-23,15,1,1:15,2024-09-20,0.209,1.456,-2.7,-3.241,-2.881,6.858,True,-22.537,-24.179,-20.896,-27.463,-45.672
reverse,stock,RSLS,,"ReShape Lifesciences, Inc. Common Stock",NASDAQ,present,2024-09-23,58,1,1:58,2024-09-20,0.112,-10.112,-28.251,-30.521,-33.254,22.999,True,-19.65,-28.911,-30.538,-29.287,-34.418
reverse,stock,TRAW,,"Traws Pharma, Inc. Common Stock",NASDAQ,present,2024-09-23,25,1,1:25,2024-09-20,0.2842,-8.323,-7.667,-17.143,-18.73,5.559,True,-0.8,-6.267,-18.667,-21.6,-30.133
reverse,stock,BBGI,,"Beasley Broadcast Group, Inc. Class A Common Stock",NASDAQ,present,2024-09-24,20,1,1:20,2024-09-23,0.475,-2.263,-8.724,-11.232,-14.26,6.579,True,-0.494,6.667,11.704,9.903,22.37
reverse,stock,EJH,,E-Home Household Service Holdings Limited Ordinary Shares,NASDAQ,present,2024-09-24,10,1,1:10,2024-09-23,0.1021,8.271,4.611,-3.679,0.196,10.676,True,-7.965,-7.08,-11.504,-10.619,-14.327
reverse,stock,ONCO,,"Onconetix, Inc. Common Stock",NASDAQ,present,2024-09-24,40,1,1:40,2024-09-23,0.0742,-9.951,-35.758,-37.119,-38.728,30.31,True,-12.866,-13.243,54.101,13.249,31.865
reverse,stock,ARQQ,,Arqit Quantum Inc. Ordinary Shares,NASDAQ,present,2024-09-25,25,1,1:25,2024-09-24,0.2501,13.682,5.261,0.0,-15.82,-28.669,True,25.561,12.556,27.803,1.57,-13.677
reverse,stock,FRGT,,"Freight Technologies, Inc. Ordinary Shares",NASDAQ,present,2024-09-25,25,1,1:25,2024-09-24,0.0838,3.457,-26.362,-35.24,-23.956,0.239,True,2.381,-2.381,-8.095,-10.714,-18.095
reverse,stock,NLSP,,,,missing (delisted since),2024-09-27,40,1,1:40,2024-09-26,0.125,-5.518,-10.072,-7.817,-8.692,4.0,True,-2.5,0.0,-4.231,-5.769,-14.423
reverse,stock,SEEL,,,,missing (delisted since),2024-09-27,16,1,1:16,2024-09-26,0.3125,-7.599,4.515,64.474,53.337,-22.0,True,-3.718,-17.436,-16.154,-12.564,-37.692
reverse,stock,CNET,,ZW Data Action Technologies Inc. Common Stock,NASDAQ,present,2024-09-30,4,1,1:4,2024-09-27,0.805,25.781,46.39,43.904,57.288,36.646,True,-25.0,-38.182,-43.182,-46.364,-57.727
reverse,stock,LXEH,,"Lixiang Education Holding Co., Ltd. American Depositary Shares",NASDAQ,present,2024-09-30,10,1,1:10,2024-09-27,0.265,-5.357,4.743,14.719,15.117,55.094,True,-16.058,-8.285,-15.815,-1.46,-28.224
forward,stock,RYAAY,,Ryanair Holdings plc American Depositary Shares,NASDAQ,present,2024-09-30,1,2.5,2.5:1,2024-09-27,112.68,-4.265,-2.887,-1.718,-0.932,0.24,True,-1.837,-4.803,-5.268,-6.817,-2.191
reverse,stock,SONN,,,,missing (delisted since),2024-09-30,8,1,1:8,2024-09-27,0.7096,-2.795,-2.407,-21.164,-29.04,17.848,True,-8.371,-17.408,-22.945,-29.746,-30.792
forward,stock,SMCI,,"Super Micro Computer, Inc. Common Stock",NASDAQ,present,2024-10-01,1,10,10:1,2024-09-30,416.4,-0.796,3.479,-9.113,-10.632,-2.618,True,3.576,2.466,1.677,11.837,17.781
forward,stock,AGBA,,,,missing (delisted since),2024-10-02,1,1.9365,1.9365:1,2024-10-01,2.23,-5.907,-3.463,-1.327,14.359,29.389,True,2.685,6.04,-3.356,-15.436,
reverse,etf,SFY,,SoFi Select 500 ETF,ARCA,present,2024-10-02,5,1,1:5,2024-10-01,20.515,-1.275,-1.037,-1.465,-1.133,0.258,True,0.146,1.449,0.758,2.771,4.035
reverse,stock,SOBR,,"SOBR Safe, Inc. Common Stock",NASDAQ,present,2024-10-02,110,1,1:110,2024-10-01,0.067,15.12,-18.293,-20.897,-27.411,-13.163,True,-31.249,-40.624,57.815,12.658,23.752
reverse,stock,CETX,,Cemtrex Inc. Common Stock,NASDAQ,present,2024-10-03,60,1,1:60,2024-10-02,0.0872,-5.933,-24.174,-29.106,-37.491,-51.07,False,,,,,
reverse,stock,KRKR,,36Kr Holdings Inc. American Depositary Shares,NASDAQ,present,2024-10-03,20,1,1:20,2024-10-02,0.2801,6.908,-5.051,18.086,43.936,-13.067,True,15.127,10.883,10.883,-7.392,-5.544
forward,stock,LRCX,,Lam Research Corporation Common Stock,NASDAQ,present,2024-10-03,1,10,10:1,2024-10-02,814.09,2.096,-0.244,-1.575,1.286,-0.367,True,0.53,-0.616,-0.123,1.171,-9.826
